CstCd,CstmFgCd,CstmNm,CstmNmBk,GroupId,UpperCstmCd,UseDclr,UseIb,UseYn,AuditTeamMgrCnt,ExpAuditorCnt,ExpInspctTeamMgrCnt,ExpInspctorCnt,ImpAuditorCnt,ImpInspctTeamMgrCnt,ImpInspctorCnt,ImpexpAuditorCnt,ImpexpInspctTeamMgrCnt,ImpexpInspctorCnt
16600,30,Статистик,Статистик,,16,Y,N,Y,0,0,0,0,0,0,0,0,0,0
17,20,Говь Алтай дахь гаалийн хороо,Говь Алтай дахь гаалийн хороо,,1,Y,N,Y,0,0,0,0,0,0,0,0,0,0
17200,30,"Гаалийн хяналт,  бүрдүүлэлтийн алба","Гаалийн хяналт,  бүрдүүлэлтийн алба",,17,Y,N,Y,0,0,0,0,0,0,0,0,0,0
17502,30,"Үнэ, үнэлгээний хэсэг","Үнэ, үнэлгээний хэсэг",,17,Y,N,Y,0,0,0,0,0,0,0,0,0,0
17901,30,Говь-Алтай гүний гааль ,Говь-Алтай гүний гааль ,,17,Y,N,Y,0,0,0,0,0,0,0,0,0,0
18200,30,"Гаалийн хяналт,  бүрдүүлэлтийн алба","Гаалийн хяналт,  бүрдүүлэлтийн алба",,18,Y,N,Y,0,0,0,0,0,0,0,0,0,0
18503,30,Санхүүгийн хэсэг,Санхүүгийн хэсэг,,18,Y,N,Y,0,0,0,0,0,0,0,0,0,0
18901,30,Арцсуурь,Арцсуурь,,18,Y,N,N,0,0,0,0,0,0,0,0,0,0
19,20,Хөвсгөл дэх гаалийн хороо,Хөвсгөл дэх гаалийн хороо,,1,Y,N,Y,0,0,0,0,0,0,0,0,0,0
19200,30,"Гаалийн хяналт,  бүрдүүлэлтийн алба","Гаалийн хяналт,  бүрдүүлэлтийн алба",,19,Y,N,Y,0,0,0,0,0,0,0,0,0,0
19300,30,Гаалийн зөрчлөөс урьдчилан сэргийлэх хэсэг,Гаалийн зөрчлөөс урьдчилан сэргийлэх хэсэг,,19,Y,N,Y,0,0,0,0,0,0,0,0,0,0
19800,30,Эрсдэл,Эрсдэл,,19,Y,N,Y,0,0,0,0,0,0,0,0,0,0
19901,30,Хөвсгөл дэх гүний гааль,Хөвсгөл дэх гүний гааль,,19,Y,N,Y,0,0,0,0,0,0,0,0,0,0
10,20,Орхон дахь гаалийн газар,Орхон дахь гаалийн газар,,1,Y,N,Y,0,0,0,0,0,0,0,0,0,0
1120,10,"Хяналт шинжилгээ, үнэлгээ, дотоод аудитын газар","Мэдээлэл, хяналт-шинжилгээ, үнэлгээний хэлтэс",,1,Y,N,Y,0,0,0,0,0,0,0,0,0,0
1202,30,"Манифест, тээврийн хөдөлгөөн хариуцсан хэсэг","Манифест, тээврийн хөдөлгөөн хариуцсан хэсэг",,1,Y,N,N,0,0,0,0,0,0,0,0,0,0
1205,30,Бүрдүүлэлт хариуцсан хэсэг,Бүрдүүлэлт хариуцсан хэсэг,,1,Y,N,N,0,0,0,0,0,0,0,0,0,0
2203,30,Нефтийн бүрдүүлэлт,Нефтийн бүрдүүлэлт,,2,Y,N,N,0,0,0,0,0,0,0,0,0,0
2205,30,Багануур дахь төмөр замын хэсэг,Багануур дахь төмөр замын хэсэг,,2,Y,N,N,0,0,0,0,0,0,0,0,0,0
2400,30,Бүрдүүлэлтийн дараах шалгалтын алба,Бүрдүүлэлтийн дараах шалгалтын алба,,2,Y,N,N,0,0,0,0,0,0,0,0,0,0
2505,30,Хураамж,Хураамж,,2,Y,N,N,0,0,0,0,0,0,0,0,0,0
2800,30,Эрсдлийн алба,Эрсдлийн алба,,2,Y,N,Y,0,0,0,0,0,0,0,0,0,0
2902,30,АБТЭМА /гаалийн салбар/,АБТЭМА /гаалийн салбар/,1,2,Y,N,Y,0,0,0,3,0,0,3,0,0,5
2906,30,Монгол экспресс ,Монгол экспресс ,2,2,Y,N,Y,0,0,0,0,0,0,0,0,0,0
2908,30,Монголтранс ,Монголтранс ,1,2,Y,N,Y,0,0,0,0,0,0,0,0,0,0
2909,30,Эрин интернэшнл /тусгай бүс/,Эрин интернэшнл /тусгай бүс/,2,2,Y,N,Y,0,0,0,0,0,0,0,0,0,0
3200,30,"Гаалийн хяналт, бүрдүүлэлтийн хэлтэс","Гаалийн хяналт, бүрдүүлэлтийн хэлтэс",1,3,Y,N,Y,0,0,0,0,0,0,0,0,0,0
3202,30,Төмөр замын тээврийн хяналтын хэсэг,Төмөр замын тээврийн хяналтын хэсэг,3,3,Y,N,Y,1,0,0,0,0,0,0,1,0,2
3503,30,Санхүүгийн хэсэг,Санхүүгийн хэсэг,,3,N,N,Y,0,0,0,0,0,0,0,0,0,0
3600,30,Статистик,Статистик,,3,N,N,Y,0,0,0,0,0,0,0,0,0,0
3903,30,Нарийн төмөр зам,Нарийн төмөр зам ,3,3,Y,N,Y,1,1,0,1,1,0,1,0,0,0
3904,30,Чингэлэг шалгах рентген төхөөрөмж,Чингэлэг шалгах рентген төхөөрөмж,,3,N,N,Y,0,0,0,0,0,0,0,0,0,0
4200,30,Гаалийн хяналт бүрдүүлэлтийн хэлтэс,"Гаалийн хяналт, бүрдүүлэлтийн хэлтэс",,4,Y,N,Y,0,0,0,0,0,0,0,0,0,0
6204,30,Баянхошуу дахь гаалийн салбар,Баянхошуу дахь гаалийн салбар,,6,Y,N,Y,0,0,0,0,0,0,0,0,0,0
6205,30,Сүмбэр дахь гаалийн сaлбар,Сүмбэр дахь гаалийн сaлбар,,6,Y,N,Y,0,0,0,0,0,0,0,0,0,0
6300,30,Гаалийн зөрчлөөс урьдчилан сэргийлэх алба,Гаалийн зөрчлөөс урьдчилан сэргийлэх алба,,6,Y,N,N,0,0,0,0,0,0,0,0,0,0
6500,30,"Санхүү, татварын хэлтэс","Санхүү, татварын хэлтэс",,6,Y,N,N,0,0,0,0,0,0,0,0,0,0
6501,30,БТКУС-ын хэсэг,БТКУС-ын хэсэг,,6,Y,N,N,0,0,0,0,0,0,0,0,0,0
6503,30,Санхүүгийн хэсэг,Санхүүгийн хэсэг,,6,Y,N,N,0,0,0,0,0,0,0,0,0,0
6504,30,Татвар,Татвар,,6,Y,N,N,0,0,0,0,0,0,0,0,0,0
6505,30,Хураамж,Хураамж,,6,Y,N,N,0,0,0,0,0,0,0,0,0,0
6600,30,Статистик,Статистик,,6,Y,N,N,0,0,0,0,0,0,0,0,0,0
6800,30,Эрсдэл,Эрсдэл,,6,Y,N,N,0,0,0,0,0,0,0,0,0,0
6901,30,Дорнод дахь гүний гааль,Дорнод дахь гүний гааль,,6,Y,N,Y,0,0,0,0,0,0,0,0,0,0
6902,30,Баянтүмэн өртөө ,Баянтүмэн өртөө ,,6,Y,N,Y,0,0,0,0,0,0,0,0,0,0
6903,30,Эрээнцав,Эрээнцав ,,6,Y,N,Y,0,0,0,0,0,0,0,0,0,0
6905,30,Хавирга ,Хавирга ,,6,Y,N,Y,0,0,0,0,0,0,0,0,0,0
6906,30,Баянхошуу ,Баянхошуу ,,6,Y,N,Y,0,0,0,0,0,0,0,0,0,0
6908,30,Тамсаг ,Тамсаг ,,6,Y,N,Y,0,0,0,0,0,0,0,0,0,0
6909,30,Дорнод Шан-лун,Дорнод Шан-лун,,6,Y,N,Y,0,0,0,0,0,0,0,0,0,0
6911,30,Бичигт,Бичигт,,6,Y,N,Y,0,0,0,0,0,0,0,0,0,0
6912,30,СБ Цайрт минерал,СБ Цайрт минерал,,6,Y,N,Y,0,0,0,0,0,0,0,0,0,0
7100,30,Захиргааны хэсэг,Захиргааны хэсэг,,7,Y,N,Y,0,0,0,0,0,0,0,0,0,0
7200,30,"Гаалийн хяналт,  бүрдүүлэлтийн хэсэг","Гаалийн хяналт,  бүрдүүлэлтийн хэсэг",,7,Y,N,Y,0,0,0,0,0,0,0,0,0,0
7500,30,"Санхүү, татварын хэсэг","Санхүү, татварын хэсэг",,7,Y,N,Y,0,0,0,0,0,0,0,0,0,0
